School,Name,Jersey,Position,Class Year,Height,Weight,High School
University of Nebraska,Grant Cleavinger,36,LHP,Jr.,6-5,225 lbs,Tulane
University of Nebraska,J'Shawn Unger,37,RHP,Fr.,6-5,225 lbs,Blair HS
University of Nebraska,Carson Jasa,39,RHP,R-Fr.,6-7,225 lbs,Faith Christian Academy
University of Nebraska,Chase Olson,41,LHP,Fr.,5-11,180 lbs,Raymore-Peculiar HS
University of Nebraska,Jalen Worthley,42,LHP,Jr.,5-10,185 lbs,Lincoln East HS
University of Nebraska,Aiden Lieser,43,RHP,Fr.,6-2,215 lbs,Centennial HS
University of Nebraska,Gabe Swansen,44,OF,Sr.,6-0,200 lbs,Johnston HS
University of Nebraska,Casey Daiss,45,RHP,Sr.,6-4,210 lbs,Pasco Hernandez JC
University of Nebraska,Aiden White,46,LHP,Fr.,6-2,210 lbs,Prosper HS
University of Nebraska,Colin Nowaczyk,47,LHP,Fr.,6-1,190 lbs,Elkhorn North HS
University of Nebraska,Gavin Blachowicz,50,RHP,Fr.,6-3,205 lbs,Olathe South HS
University of Nebraska,Mason McConnaughey,51,RHP,Jr.,6-3,220 lbs,Cloud County CC
University of Nebraska,Tyler Stone,55,INF,Sr.,6-3,240 lbs,Gonzaga/Iowa Western CC
