College,Name,Jersey,Position,Class Year,Height,Weight,B/T,High School,Hometown,Season
University of Oklahoma,Brandon Cain,9,INF/OF,Jr.,72,174,R/R,Baker HS,"Mobile, Ala.",2025
University of Oklahoma,Jacob Gholston,11,RHP,So.,79,218,R/R,Flower Mound HS,"Flower Mound, Texas",2025
University of Oklahoma,Ryley Leininger,12,INF,Fr.,74,221,L/R,Georgetown HS,"Georgetown, Texas",2025
University of Oklahoma,Jackson Kircher,14,RHP/OF,Fr.,75,219,R/R,Little Rock Christian Academy,"Little Rock, Ark.",2025
University of Oklahoma,Dayton Tockey,16,INF,Jr.,74,227,L/L,Weatherford HS,"Fort Worth, Texas",2025
University of Oklahoma,Dasan Harris,17,OF,So.,72,181,L/L,Plano East HS,"Plano, Texas",2025
University of Oklahoma,Gavyn Jones,18,LHP/OF,So.,73,206,L/L,White Oak HS,"White Oak, Texas",2025
University of Oklahoma,Trey Gambill,20,OF,Jr.,72,194,L/R,Lone Peak HS,"Alpine, Utah",2025
University of Oklahoma,Drew Dickerson,21,INF,Fr.,76,210,R/R,Lee's Summit West HS,"Lee's Summit, Mo.",2025
University of Oklahoma,Scott Mudler,22,C,Sr.,74,220,L/R,Chattahoochee HS,"Johns Creek, Ga.",2025
University of Oklahoma,Cade Crossland,23,LHP,Jr.,73,210,R/L,Rockwall HS,"Rockwall, Texas",2025
University of Oklahoma,Malachi Witherspoon,25,RHP,Jr.,75,211,R/R,Fletcher HS,"Jacksonville, Fla.",2025
University of Oklahoma,Kyson Witherspoon,26,RHP,Jr.,74,207,R/R,Fletcher HS,"Jacksonville, Fla.",2025
University of Oklahoma,Landon Victorian,27,RHP,Fr.,75,178,R/R,Barbe HS,"Lake Charles, La.",2025
University of Oklahoma,Brayden Horton,28,IF/OF,Jr.,71,197,L/R,Sayre Area HS,"Sayre, Pa.",2025
University of Oklahoma,Jaden Barfield,29,LHP,Fr.,69,216,L/L,Pearland HS,"Pearland, Texas",2025
University of Oklahoma,Michael Catalano,30,RHP,Fr.,72,206,R/R,Frisco HS,"Frisco, Texas",2025
University of Oklahoma,Cameron Johnson,31,LHP,So.,78,250,L/L,IMG Academy,"Upper Marlboro, Md.",2025
University of Oklahoma,Dylan Tate,32,RHP,Jr.,72,194,R/R,Eureka HS,"Eureka, Mo.",2025
University of Oklahoma,Berkeley Roddy,33,RHP,Fr.,74,218,R/R,Boswell HS,"Fort Worth, Texas",2025
University of Oklahoma,Beau Sampson,34,LHP,So.,78,226,L/L,Crimson Cliffs HS,"St. George, Utah",2025
University of Oklahoma,Jason Bodin,35,RHP,So.,75,193,L/R,Orangefield HS,"Orange, Texas",2025
University of Oklahoma,Grant Stevens,36,LHP,Gr.,69,199,L/L,Franklin HS,"Elk Grove, Calif.",2025
University of Oklahoma,Mitch Haythorn,37,RHP,Fr.,72,203,R/R,Eaton HS,"Eaton, Colo.",2025
University of Oklahoma,Cole Hansen,39,C,Fr.,72,210,R/R,Norco HS,"Norco, Calif.",2025
University of Oklahoma,Sam Christiansen,40,INF/OF,R-So.,73,212,L/L,Mountain View HS,"Mesa, Ariz.",2025
University of Oklahoma,Reid Graham,41,INF,Fr.,78,185,R/R,Waxahachie HS,"Waxahachie, Texas",2025
University of Oklahoma,Reid Hensley,42,RHP,Sr.,72,212,R/R,Lufkin HS,"Lufkin, Texas",2025
University of Oklahoma,Dylan Crooks,43,RHP,Sr.,72,187,R/R,Trinity HS,"Euless, Texas",2025
University of Oklahoma,Jordan Stribling,45,LHP,Fr.,78,232,L/L,Highland Park HS,"Highland Park, Texas",2025
University of Oklahoma,James Hitt,48,LHP,Sr.,72,194,L/L,Concordia Lutheran HS,"Magnolia, Texas",2025
University of Oklahoma,Nate Smithburg,54,LHP,Jr.,74,209,L/L,Fairfield HS,"Libertyville, Iowa",2025
University of Oklahoma,James Nesta,58,RHP,R-Fr.,75,217,R/R,William Amos Hough HS,"Huntersville, N.C.",2025
University of Alabama,Justin Lebron,1,INF,So.,74,180,R-R,Archbishop Edward McCarthy,"Miramar, Fla.",2025
University of Alabama,Kade Snell,3,OF Is Captain (C),R-Sr.,73,210,L-L,Wicksburg,"Dothan, Ala.",2025
University of Alabama,Riley Quick,4,RHP,R-So.,78,245,R-R,Hewitt-Trussville,"Trussville, Ala.",2025
University of Alabama,Richie Bonomolo Jr.,5,OF,Jr.,71,200,R-R,Cardinal Hayes,"The Bronx, N.Y.",2025
University of Alabama,Beau Bryans,6,LHP,Jr.,72,195,R-L,Madison Central,"Madison, Miss.",2025
University of Alabama,Matthew Heiberger,7,LHP,So.,75,210,L-L,Oak Mountain,"Birmingham, Ala.",2025
University of Alabama,Tyler Fay,8,RHP,R-So.,77,215,R-R,Grand Island Senior,"Doniphan, Neb.",2025
University of Alabama,Bryce Fowler,9,OF,R-Jr.,74,190,L-L,Germantown,"Madison, Miss.",2025
University of Alabama,Brady Neal,10,C/INF,Jr.,70,190,L-R,IMG Academy,"Tallahassee, Fla.",2025
University of Alabama,Coulson Buchanan,11,RHP,Sr.,70,185,R-R,North Gwinnett,"Sugar Hill, Ga.",2025
University of Alabama,JT Blackwood,12,RHP,Jr.,74,210,R-R,Hartselle,"Cullman, Ala.",2025
University of Alabama,Luke Vaughn,13,C,So.,74,200,R-R,Elder,"Cincinnati, Ohio",2025
University of Alabama,Carson Ozmer,14,RHP,Gr.,74,210,R-R,John H. Guyer,"Lantana, Texas",2025
University of Alabama,Coleman Mizell,15,OF,So.,75,230,L-L,Hartselle,"Hartselle, Ala.",2025
University of Alabama,Jonathan Stevens,16,RHP,So.,73,215,R-R,Briarwood Christian,"Birmingham, Ala.",2025
University of Alabama,Will Plattner,17,C,Jr.,73,205,R-R,Glenwood,"Springfield, Ill.",2025
University of Alabama,Will Hodo,18,INF/OF,Sr.,75,225,L-R,Wayne Academy,"Waynesboro, Miss.",2025
University of Alabama,Aeden Finateri,19,RHP,Sr.,72,235,R-R,Avon Old Farms,"Watertown, Conn.",2025
University of Alabama,Zane Adams,20,LHP,So.,76,195,L-L,Porter,"Porter, Texas",2025
University of Alabama,Brennen Norton,21,INF,Sr.,69,195,R-R,Cullman,"Cullman, Ala.",2025
University of Alabama,Braylon Myers,22,RHP,Sr.,74,205,L-R,Oak Grove,"Bessemer, Ala.",2025
University of Alabama,Aidan Moza,23,RHP,Sr.,73,195,L-R,North Cobb Christian,"Dallas, Ga.",2025
University of Alabama,Tate Robertson,24,LHP,Sr.,72,170,L-L,Northridge,"Tuscaloosa, Ala.",2025
University of Alabama,Peyton Steele,26,OF,Fr.,73,195,R-R,Hartselle,"Decatur, Ala.",2025
University of Alabama,Garrett Staton,27,INF,R-Sr.,72,195,R-R,North Forsyth,"Gainesville, Ga.",2025
University of Alabama,Danny Heintz,29,RHP,R-Sr.,78,235,R-R,Green Hope,"Morrisville, N.C.",2025
University of Alabama,Anthony Pesci,30,RHP,Fr.,76,205,L-R,Orchard Lake Saint Mary's Prep,"Commerce Township, Mich.",2025
University of Alabama,Jon Young Jr.,31,INF,Fr.,73,190,L-R,Cherry Hill West,"Cherry Hill, N.J.",2025
University of Alabama,Jason Torres,32,INF,Jr.,73,230,R-R,Miami Springs,"Hialeah, Fla.",2025
University of Alabama,Ariston Veasey,33,RHP/UTL,So.,73,190,R-R,Starr's Mill,"Tyrone, Ga.",2025
University of Alabama,Hagan Banks,36,RHP,R-Jr.,76,215,R-R,Calhoun,"Plainville, Ga.",2025
University of Alabama,Andre Modugno,37,INF/RHP,Fr.,77,220,R-R,IMG Academy,"Upper Saddle River, N.J.",2025
University of Alabama,Zach Kittrell,38,RHP,Jr.,72,195,R-R,Bayside Academy,"Mobile, Ala.",2025
University of Alabama,Sam Mitchell,39,RHP,So.,79,235,R-R,Bob Jones,"Madison, Ala.",2025
University of Alabama,Sean Griggs,40,INF,Fr.,74,195,L-R,Red Bank Catholic,"Wall, N.J.",2025
University of Alabama,Connor Ball,41,LHP,R-Jr.,72,180,L-L,Chelsea,"Sterrett, Ala.",2025
University of Alabama,Ahmaad Duff,42,OF,Fr.,67,155,R-R,Lawrence Central,"Indianapolis, Ind.",2025
University of Alabama,Jack Ketchum,43,RHP,Fr.,75,210,R-R,Heritage Academy,"West Point, Miss.",2025
University of Alabama,Packy Bradley-Cooney,44,RHP,Sr.,74,210,R-R,Arlington Catholic,"Woburn, Mass.",2025
University of Alabama,Jackson Hunter,45,RHP,Fr.,75,190,R-R,Hazel Green,"Meridianville, Ala.",2025
University of Alabama,Carson Kuehne,46,LHP,Fr.,77,195,L-L,IMG Academy,"Kentfield, Calif.",2025
University of Alabama,JoJo Williamson,47,INF,Fr.,68,175,L-R,Hartselle,"Hartselle, Ala.",2025
University of Alabama,Bobby Alcock,48,RHP,R-Sr.,77,230,R-R,The Winchendon School,"Lynn, Mass.",2025
University of Alabama,Nash Wagner,49,RHP,Fr.,77,225,R-R,Zionsville Community,"Zionsville, Ind.",2025
University of Alabama,Connor Lehman,50,LHP,Fr.,74,210,L-L,Stewart County,"Indian Mound, Tenn.",2025
University of Alabama,Ashton Alston,52,RHP,Fr.,78,205,R-R,Christian Community Schools,"Gallatin, Tenn.",2025
University of Alabama,Egan Lowery,67,RHP,So.,73,184,L-R,McAdory,"McAlla, Ala.",2025
University of Alabama,Austin Morris,99,RHP,R-So.,76,210,R-R,Mortimer Jordan,"Warrior, Ala.",2025
University of Washington,Isaac Yeager,0,RHP,Jr.,78,215,L/R,Bishop Blanchet,"Seattle, Wash.",2025
University of Washington,AJ Guerrero,1,OF,Sr.,72,210,R/R,Fife,"Fife, Wash.",2025
University of Washington,Colton Bower,2,C,R-So.,72,210,R/R,North Kitsap,"Poulsbo, Wash.",2025
University of Washington,Reeve Boyd,3,INF,R-Fr.,73,190,R/R,Seattle Prep,"Seattle, Wash.",2025
University of Washington,Sawyer Parkin,4,RHP,Sr.,71,195,R/R,Columbia River,"Vancouver, Wash.",2025
University of Washington,Julian Sanders,5,OF,Gr.,74,210,R/R,Lakeside,"Mercer Island, Wash.",2025
University of Washington,Carson Crawford,6,INF,Sr.,74,200,R/R,Cardinal Newman,"Rohnert Park, Calif.",2025
University of Washington,Blake Wilson,7,INF,So.,70,175,R/R,Santa Margarita Catholic,"Trabuco Canyon, Calif.",2025
University of Washington,Cooper Whitton,9,OF,Jr.,75,200,R/R,Santa Fe Christian,"San Diego, Calif.",2025
University of Washington,Braeden Terry,10,OF,Sr.,72,200,L/L,Newport,"Bellevue, Wash.",2025
University of Washington,Jase Evangelista,11,RHP,So.,74,195,R/R,Martin Luther King,"Riverside, Calif.",2025
University of Washington,Casen Taggart,12,INF/OF,Sr.,77,225,L/R,Everett,"Everett, Wash.",2025
University of Washington,Micah Bujacich,13,RHP,Fr.,75,190,R/R,Steilacoom,"Lakewood, Wash.",2025
University of Washington,Will Woodward,15,LHP,R-So.,79,225,L/L,Eastlake,"Redmond, Wash.",2025
University of Washington,Trevor Kole,16,INF,Gr.,72,200,R/R,Gibbons,"Boca Raton, Fla.",2025
University of Washington,Matthew Henning,17,RHP/OF,Fr.,73,200,R/R,West Seattle,"West Seattle, Wash.",2025
University of Washington,Boston Warkentin,18,RHP,R-So.,74,205,R/R,Foothills Composite,"Ladner, British Columbia",2025
University of Washington,Jackson Hotchkiss,19,OF,Fr.,75,190,R/R,Battle Ground,"Battle Ground, Wash.",2025
University of Washington,Easton O'Neal,20,C,Fr.,73,205,S/R,West Valley,"Spokane, Wash.",2025
University of Washington,Lane Simonsen,21,RHP,Fr.,74,195,R/R,Lynden,"Lynden, Wash.",2025
University of Washington,Max Banks,22,RHP,Sr.,76,225,R/R,Stuart Hall,"San Francisco, Calif.",2025
University of Washington,Colin Blanchard,23,C,R-Jr.,73,195,L/R,JSerra Catholic,"Ladera Ranch, Calif.",2025
University of Washington,Malakhi Knight,24,OF,Sr.,75,205,R/R,Marysville Getchell,"Marysville, Wash.",2025
University of Washington,Reilly McAdams,25,RHP,R-Sr.,78,235,R/R,Ingraham,"Seattle, Wash.",2025
University of Washington,Charlie Denomme,26,RHP,So.,76,225,R/R,Thayer Academy,"Boston, Mass.",2025
University of Washington,Justin Tims,27,RHP/INF,Fr.,75,195,L/R,Villa Park,"Anaheim, Calif.",2025
University of Washington,Gunnar Nichols,31,RHP,Jr.,76,185,L/R,John Burroughs,"Burbank, Calif.",2025
University of Washington,Josh Emanuels,32,RHP,R-Sr.,75,210,R/R,Interlake,"Bellevue, Wash.",2025
University of Washington,Jack Sand,33,LHP,So.,70,195,L/L,Crean Lutheran,"Aliso Viejo, Calif.",2025
University of Washington,Noah Sorensen,34,RHP,Fr.,74,210,R/R,North Kitsap,"Poulsbo, Wash.",2025
University of Washington,Peysen Sweeney,35,RHP,R-Jr.,77,235,L/R,Liberty,"Newcastle, Wash.",2025
University of Washington,Bradley Gilbert,37,RHP,Fr.,72,195,L/R,Aquinas,"Redlands, Calif.",2025
University of Washington,Jackson Thomas,39,RHP,Sr.,75,200,R/R,Mountain View,"Mesa, Ariz.",2025
University of Washington,Tommy Curran,40,LHP,Fr.,74,180,R/L,De La Salle,"Pleasant Hill, Calif.",2025
University of Washington,Carston Pearson,41,OF,So.,72,200,L/L,Dublin,"Dublin, Calif.",2025
University of Washington,Luke Klooster,43,C,Fr.,70,190,R/R,O'Dea,"Duvall, Wash.",2025
University of Washington,Grady Woodward,44,OF,Fr.,74,205,R/R,Eastlake,"Redmond, Wash.",2025
University of Washington,Jaxson Gore,45,RHP,So.,72,190,R/R,North Kitsap,"Poulsbo, Wash.",2025
University of Washington,Sam DeCarlo,51,INF,Jr.,69,190,R/R,Millikan,"Signal Hill, Calif.",2025
University of Washington,Tommy Brandenburg,55,RHP,R-Jr.,71,195,R/R,Kalama,"Kalama, Wash.",2025
University of Washington,Nic Bronzini,95,LHP,R-So.,76,250,L/L,California,"San Ramon, Calif.",2025
University of Washington,Logan Anderson,99,RHP,R-Fr.,76,210,R/R,Shorewood,"Shoreline, Wash.",2025
University of Oregon,Tyler Jones,1,RHP,Fr.,75,200,R/R,Woodinville HS,"Woodinville, Wash.",2025
University of Oregon,Grayson Grinsell,2,LHP,Jr.,73,195,L/L,Reno HS,"Reno, Nev.",2025
University of Oregon,Carter Garate,3,INF,Jr.,74,185,L/R,Murrieta Mesa HS,"Murrieta, Calif.",2025
University of Oregon,Toby Twist,4,LHP,So.,73,205,L/L,Bakersfield Christian HS,"Bakersfield, Calif.",2025
University of Oregon,Burke-Lee Mabeus,5,C,Fr.,76,215,S/R,Bishop Gorman HS,"Henderson, Nev.",2025
University of Oregon,Jack Brooks,6,UTL,So.,70,190,L/R,Vanden HS,"Vacaville, Calif.",2025
University of Oregon,Hunter Hyatt,7,LHP,R-Fr.,75,210,L/L,Bellevue HS,"Clyde Hill, Wash.",2025
University of Oregon,Maddox Molony,9,INF,So.,74,210,R/R,Thurston HS,"Springfield, Ore.",2025
University of Oregon,Collin Clarke,10,RHP,So.,75,205,R/R,Santa Margarita Catholic HS,"Irvine, Calif.",2025
University of Oregon,Ryan Cooney,12,INF,So.,72,200,R/R,Jesuit HS,"Portland, Ore.",2025
University of Oregon,Coen Niclai,13,C,Fr.,74,215,R/R,Service HS,"Anchorage, Alaska",2025
University of Oregon,Jaxon Jordan,15,RHP,Sr.,77,210,R/R,Oak Park HS,"Thousand Oaks, Calif.",2025
University of Oregon,Cole Fisher,16,RHP,Jr.,74,210,R/R,Hatboro-Horsham HS,"Horsham, Pa.",2025
University of Oregon,Drew Smith,17,INF/OF,Jr.,74,205,R/R,Buchanan HS,"Clovis, Calif.",2025
University of Oregon,Jax Gimenez,19,INF/OF,Fr.,74,200,S/R,Whitney HS,"Rocklin, Calif.",2025
University of Oregon,Parker Stinson,20,OF,Sr.,72,210,L/L,Yorktown HS,"Yorktown, Ind.",2025
University of Oregon,Michael Meckna,21,RHP,Fr.,75,200,R/R,Elkhorn South HS,"Omaha, Neb.",2025
University of Oregon,Julien Hernandez,22,RHP,Sr.,73,200,R/R,Menlo School,"Palo Alto, Calif.",2025
University of Oregon,Kellan Knox,23,RHP,Fr.,74,210,R/R,Tenino HS,"Tenino, Wash.",2025
University of Oregon,Ian Umlandt,24,LHP,Jr.,72,210,L/L,Sherwood HS,"Sherwood, Ore.",2025
University of Oregon,Jacob Walsh,25,1B,Sr.,76,225,L/L,Desert Oasis HS,"Las Vegas, Nev.",2025
University of Oregon,Mason Neville,26,OF,Jr.,75,210,L/L,Basic HS,"Las Vegas, Nev.",2025
University of Oregon,Chase Meggers,27,C,Jr.,72,205,L/R,Rocklin HS,"Rocklin, Calif.",2025
University of Oregon,Will Sanford,28,RHP,Fr.,72,200,R/R,Point Loma HS,"San Diego, Calif.",2025
University of Oregon,Seth Mattox,31,RHP,Sr.,75,190,R/R,Xavier College Prep,"Indio, Calif.",2025
University of Oregon,Jason Reitz,33,RHP,Jr.,83,215,R/R,Pioneer HS,"San Jose, Calif.",2025
University of Oregon,Santiago Garcia,34,LHP,So.,72,180,L/L,Centennial HS,"Las Cruces, N.M.",2025
University of Oregon,Jeffery Heard,35,OF,Sr.,74,215,L/L,Valley Christian HS,"San Jose, Calif.",2025
University of Oregon,Sam Boyle,37,LHP,Jr.,74,200,R/L,Columbia River HS,"Vancouver, Wash.",2025
University of Oregon,Gabe Howard,38,RHP,Fr.,75,200,R/R,West Linn HS,"West Linn, Ore.",2025
University of Oregon,Kayle Pisano,40,1B,Fr.,75,225,L/L,Clackamas HS,"Happy Valley, Ore.",2025
University of Oregon,Tanner Bradley,41,RHP,Fr.,73,185,R/R,Cardinal Newman HS,"Cotati, Calif.",2025
University of Oregon,Dominic Hellman,45,INF,Jr.,78,250,R/R,Henry M. Jackson HS,"Mill Creek, Wash.",2025
University of Oregon,Ryan Featherston,46,RHP,So.,74,225,R/R,Stockdale HS,"Bakersfield, Calif.",2025
University of Oregon,Blake Crawford,50,LHP,Fr.,76,215,L/L,West Linn HS,"West Linn, Ore.",2025
University of Oregon,Nate Christman,51,RHP,Fr.,75,220,R/R,Aquinas HS,"Hesperia, Calif.",2025
University of Oregon,Alex Umland,52,RHP,Fr.,76,225,R/R,Winward School,"Los Angeles, Calif.",2025
University of Oregon,Isaac Evaniew,53,RHP,Jr.,74,260,R/R,Churchill HS,"Eugene, Ore.",2025
University of Oregon,Cole Stokes,55,RHP,So.,78,230,R/R,Redondo Union HS,"Redondo Beach, Calif.",2025
University of Oregon,Zach Justice,66,C,R-Fr.,73,210,N/A,Summit HS,"Bend, Ore.",2025
University of Oregon,Anson Aroz,77,C,Jr.,71,195,S/R,Placer HS,"Auburn, Calif.",2025
University of Indiana,Jasen Oliver,2,INF,So.,71,185,R/R,Orchard Lake St. Mary's Prep,"Almont, Mich.",2025
University of Indiana,Tyler DeMartino,3,OF,Gr.,72,205,R/R,Walt Whitman,"Potomac, Md.",2025
University of Indiana,Devin Taylor,5,OF,Jr.,73,215,L/R,LaSalle,"Cincinnati, Ohio",2025
University of Indiana,T.J. Schuyler,6,C,So.,74,220,R/R,Antioch,"Antioch, Ill.",2025
University of Indiana,Tyler Cerny,8,INF,Jr.,74,205,R/R,Center Grove,"Greenwood, Ind.",2025
University of Indiana,Jake Stadler,9,C,R-Sr.,73,215,L/R,Mount Vernon,"Greenfield, Ind.",2025
University of Indiana,Josh Pyne,10,INF,Sr.,72,195,R/R,Linton-Stockton,"Bloomfield, Ind.",2025
University of Indiana,Will Moore,11,INF,Fr.,69,170,L/R,Paris District,"Paris, Ontario",2025
University of Indiana,Hogan Denny,12,C/OF,Fr.,72,215,R/R,Mooresville,"Mooresville, Ind.",2025
University of Indiana,Andrew Wiggins,13,OF,So.,76,225,L/R,Heritage Christian,"Indianapolis, Ind.",2025
University of Indiana,Brayton Thomas,14,LHP,Fr.,77,220,L/L,Bishop Dwenger,"Fort Wayne, Ind.",2025
University of Indiana,Cooper Malamazian,15,INF,Fr.,74,185,R/R,Nazareth Academy,"Clarendon Hills, Ill.",2025
University of Indiana,Anthony Gubitosi,16,LHP,Jr.,71,192,L/L,Colts Neck,"Freehold, N.J.",2025
University of Indiana,Ben Grable,17,RHP,Gr.,76,215,R/R,Flintridge Prep,"Pasadena, Calif.",2025
University of Indiana,Grant Holderfield,18,LHP,R-Jr.,75,220,L/L,Oak Park & River Forest,"Oak Park, Ill.",2025
University of Indiana,Cole Decker,19,OF,Fr.,71,185,L/R,Evansville North,"Evansville, Ind.",2025
University of Indiana,Korbyn Dickerson,20,OF,R-So.,73,205,R/R,Trinity (Ky.),"Jeffersonville, Ind.",2025
University of Indiana,Jacob Vogel,21,RHP,R-So.,79,250,R/R,Jennings County,"North Vernon, Ind.",2025
University of Indiana,Joey Brenczewski,23,INF,R-So.,75,195,S/R,Fishers,"Fishers, Ind.",2025
University of Indiana,Drew Buhr,24,RHP,Gr.+,73,205,L/R,Austin,"Austin, Ind.",2025
University of Indiana,Seth Benes,26,RHP,So.,74,210,R/R,Liberty-Wentzville,"O'Fallon, Mo.",2025
University of Indiana,Clayton Weisheit,27,RHP,So.,78,235,R/R,Forest Park,"Jasper, Ind.",2025
University of Indiana,Matthew Bohnert,28,LHP,R-Sr.,68,187,L/L,Cactus Shadows,Cave Creek. Ariz.,2025
University of Indiana,Ryan Kraft,29,LHP,Sr.,76,220,L/L,Lincoln-Way Central,"Mokena, Ill.",2025
University of Indiana,Ryan Rushing,30,LHP,So.,70,190,L/L,IMG Academy,"Bradenton, Fla.",2025
University of Indiana,Henry Brummel,31,RHP,Fr.,77,210,R/R,Pontiac,"Pontiac, Ill.",2025
University of Indiana,Cole Gilley,32,RHP,R-Sr.,73,205,R/R,Columbus East,"Columbus, Ind.",2025
University of Indiana,Trey Telfer,33,RHP,Fr.,73,185,R/R,Cathedral Catholic,"San Diego, Calif.",2025
University of Indiana,Jake Hanley,34,INF,Fr.,78,235,L/R,Mason,"Mason, Ohio",2025
University of Indiana,Evan O'Neill,35,RHP,R-Fr.,76,220,R/R,Blessed Trinity Catholic,"Alpharetta, Ga.",2025
University of Indiana,Micah Vessely,36,RHP,Fr.,73,185,R/R,Greenwood,"Greenwood, Ind.",2025
University of Indiana,Ryan Gilbert,37,OF,R-So.,77,235,R/R,Kenston,"Cleveland, Ohio",2025
University of Indiana,Jackson Yarberry,38,RHP,So.,75,225,R/R,Timberland,"Lake St. Louis, Mo.",2025
University of Indiana,Michael Lorenzetti,39,RHP,Jr.,80,225,R/R,Taft School,"Bristol, Conn.",2025
University of Indiana,Gavin Seebold,40,RHP,R-Sr.,74,205,R/R,Jeffersonville,"Jeffersonville, Ind.",2025
University of Indiana,Deron Swanson,41,LHP,Sr.,75,195,L/L,Snider,"Fort Wayne, Ind.",2025
University of Indiana,Brayden Ricketts,42,C,Fr.,74,205,L/R,Jean Augustine Secondary,"Brampton, Ontario",2025
University of Indiana,Caleb Koskie,43,LHP/OF,Fr.,72,185,R/L,Benilde-St.Margaret's,"Excelsior, Minn.",2025
University of Indiana,Will Eldridge,44,RHP,Jr.,76,210,R/R,Carroll (Flora),"Flora, Ind.",2025
University of Indiana,Pete Haas,51,RHP,R-Jr.,72,195,R/R,Keene,"Hancock, N.H.",2025
University of Indiana,Aydan Decker-Petty,55,RHP,Jr.,77,205,R/R,New Castle,"New Castle, Ind.",2025
