name,region,abbreviation,founded year,number of teams,headquarters
Southeastern Conference,Southeast,SEC,1932,16,"Birmingham, Alabama"
Big Ten Conference,Midwest,B1G,1896,18,"Rosemont, Illinois"
Sun Belt Conference,Southeast,SBC,1976,14,"New Orleans, Louisiana"
American Conference,Various,NCAA,1979,22,"Irving, Texas"
Big 12 Conference,Various,Big 12,1994,16,"Irving, Texas"
Mountain West Conference,Western,MW,1998,12,"Colorado Springs, Colorado"
